result_pop	chr	n	comp	class
hypo	chrV	2338	cpgi	CpGI
hypo	chrVI	1598	cpgi	CpGI
hypo	chrVII	2820	cpgi	CpGI
hypo	chrVIII	1955	cpgi	CpGI
hypo	chrX	1918	cpgi	CpGI
hypo	chrXI	2176	cpgi	CpGI
hypo	chrXII	2512	cpgi	CpGI
hypo	chrXIII	1649	cpgi	CpGI
hypo	chrXIV	1786	cpgi	CpGI
hypo	chrXV	2264	cpgi	CpGI
hypo	chrXVI	2146	cpgi	CpGI
hypo	chrXVII	2098	cpgi	CpGI
hypo	chrXVIII	1968	cpgi	CpGI
hypo	chrXX	1948	cpgi	CpGI
hypo	chrXXI	1897	cpgi	CpGI
non	chrI	3985	cpgi	CpGI
non	chrII	2204	cpgi	CpGI
non	chrIII	2314	cpgi	CpGI
non	chrIV	3689	cpgi	CpGI
non	chrIX	2533	cpgi	CpGI
non	chrV	2641	cpgi	CpGI
non	chrVI	2056	cpgi	CpGI
non	chrVII	3431	cpgi	CpGI
non	chrVIII	2474	cpgi	CpGI
non	chrX	2297	cpgi	CpGI
non	chrXI	2634	cpgi	CpGI
non	chrXII	2767	cpgi	CpGI
non	chrXIII	2147	cpgi	CpGI
non	chrXIV	2151	cpgi	CpGI
non	chrXV	2519	cpgi	CpGI
non	chrXVI	2432	cpgi	CpGI
non	chrXVII	2590	cpgi	CpGI
non	chrXVIII	2380	cpgi	CpGI
non	chrXX	2360	cpgi	CpGI
non	chrXXI	2028	cpgi	CpGI
hyper	chrI	607	cpgi	nonCpGI
hyper	chrII	387	cpgi	nonCpGI
hyper	chrIII	369	cpgi	nonCpGI
hyper	chrIV	606	cpgi	nonCpGI
hyper	chrIX	321	cpgi	nonCpGI
hyper	chrV	316	cpgi	nonCpGI
hyper	chrVI	354	cpgi	nonCpGI
hyper	chrVII	477	cpgi	nonCpGI
hyper	chrVIII	381	cpgi	nonCpGI
hyper	chrX	368	cpgi	nonCpGI
hyper	chrXI	331	cpgi	nonCpGI
hyper	chrXII	339	cpgi	nonCpGI
hyper	chrXIII	363	cpgi	nonCpGI
hyper	chrXIV	267	cpgi	nonCpGI
hyper	chrXV	322	cpgi	nonCpGI
hyper	chrXVI	360	cpgi	nonCpGI
hyper	chrXVII	404	cpgi	nonCpGI
hyper	chrXVIII	304	cpgi	nonCpGI
hyper	chrXX	349	cpgi	nonCpGI
hyper	chrXXI	356	cpgi	nonCpGI
hypo	chrI	3652	cpgi	nonCpGI
hypo	chrII	2495	cpgi	nonCpGI
hypo	chrIII	2052	cpgi	nonCpGI
hypo	chrIV	3857	cpgi	nonCpGI
hypo	chrIX	2222	cpgi	nonCpGI
hypo	chrV	1932	cpgi	nonCpGI
hypo	chrVI	2613	cpgi	nonCpGI
hypo	chrVII	3395	cpgi	nonCpGI
hypo	chrVIII	2341	cpgi	nonCpGI
hypo	chrX	2031	cpgi	nonCpGI
hypo	chrXI	2293	cpgi	nonCpGI
hypo	chrXII	2380	cpgi	nonCpGI
hypo	chrXIII	2368	cpgi	nonCpGI
hypo	chrXIV	2119	cpgi	nonCpGI
hypo	chrXV	2419	cpgi	nonCpGI
hypo	chrXVI	2240	cpgi	nonCpGI
hypo	chrXVII	2410	cpgi	nonCpGI
hypo	chrXVIII	1991	cpgi	nonCpGI
hypo	chrXX	2089	cpgi	nonCpGI
hypo	chrXXI	2121	cpgi	nonCpGI
non	chrI	3514	cpgi	nonCpGI
non	chrII	2524	cpgi	nonCpGI
non	chrIII	2162	cpgi	nonCpGI
non	chrIV	3975	cpgi	nonCpGI
non	chrIX	2082	cpgi	nonCpGI
non	chrV	2027	cpgi	nonCpGI
non	chrVI	2449	cpgi	nonCpGI
non	chrVII	3339	cpgi	nonCpGI
non	chrVIII	2307	cpgi	nonCpGI
non	chrX	2107	cpgi	nonCpGI
non	chrXI	2250	cpgi	nonCpGI
non	chrXII	2542	cpgi	nonCpGI
non	chrXIII	2211	cpgi	nonCpGI
non	chrXIV	2053	cpgi	nonCpGI
non	chrXV	2452	cpgi	nonCpGI
non	chrXVI	2322	cpgi	nonCpGI
non	chrXVII	2420	cpgi	nonCpGI
non	chrXVIII	2046	cpgi	nonCpGI
non	chrXX	2140	cpgi	nonCpGI
non	chrXXI	2333	cpgi	nonCpGI
hyper	chrI	459	gene_features	gene
hyper	chrII	302	gene_features	gene
hyper	chrIII	350	gene_features	gene
hyper	chrIV	475	gene_features	gene
hyper	chrIX	359	gene_features	gene
hyper	chrV	282	gene_features	gene
hyper	chrVI	264	gene_features	gene
hyper	chrVII	398	gene_features	gene
hyper	chrVIII	394	gene_features	gene
hyper	chrX	349	gene_features	gene
hyper	chrXI	320	gene_features	gene
hyper	chrXII	314	gene_features	gene
hyper	chrXIII	273	gene_features	gene
hyper	chrXIV	292	gene_features	gene
hyper	chrXV	303	gene_features	gene
hyper	chrXVI	338	gene_features	gene
hyper	chrXVII	375	gene_features	gene
hyper	chrXVIII	337	gene_features	gene
hyper	chrXX	336	gene_features	gene
hyper	chrXXI	313	gene_features	gene
hypo	chrI	3044	gene_features	gene
hypo	chrII	1960	gene_features	gene
hypo	chrIII	1881	gene_features	gene
hypo	chrIV	3234	gene_features	gene
hypo	chrIX	2058	gene_features	gene
hypo	chrV	1917	gene_features	gene
hypo	chrVI	1921	gene_features	gene
hypo	chrVII	2696	gene_features	gene
hypo	chrVIII	1995	gene_features	gene
hypo	chrX	1609	gene_features	gene
hypo	chrXI	1960	gene_features	gene
hypo	chrXII	2283	gene_features	gene
hypo	chrXIII	1697	gene_features	gene
hypo	chrXIV	1715	gene_features	gene
hypo	chrXV	2267	gene_features	gene
hypo	chrXVI	2147	gene_features	gene
hypo	chrXVII	2055	gene_features	gene
hypo	chrXVIII	1796	gene_features	gene
hypo	chrXX	1646	gene_features	gene
hypo	chrXXI	1827	gene_features	gene
non	chrI	3343	gene_features	gene
non	chrII	1979	gene_features	gene
non	chrIII	2151	gene_features	gene
non	chrIV	3440	gene_features	gene
non	chrIX	2161	gene_features	gene
non	chrV	2160	gene_features	gene
non	chrVI	1935	gene_features	gene
non	chrVII	2865	gene_features	gene
non	chrVIII	2147	gene_features	gene
non	chrX	1977	gene_features	gene
non	chrXI	2100	gene_features	gene
non	chrXII	2365	gene_features	gene
non	chrXIII	1951	gene_features	gene
non	chrXIV	1950	gene_features	gene
non	chrXV	2268	gene_features	gene
non	chrXVI	2326	gene_features	gene
non	chrXVII	2349	gene_features	gene
non	chrXVIII	1983	gene_features	gene
non	chrXX	1809	gene_features	gene
non	chrXXI	1818	gene_features	gene
hyper	chrI	555	gene_features	intergenic
hyper	chrII	321	gene_features	intergenic
hyper	chrIII	254	gene_features	intergenic
hyper	chrIV	539	gene_features	intergenic
hyper	chrIX	301	gene_features	intergenic
hyper	chrV	310	gene_features	intergenic
hyper	chrVI	272	gene_features	intergenic
hyper	chrVII	471	gene_features	intergenic
hyper	chrVIII	314	gene_features	intergenic
hyper	chrX	297	gene_features	intergenic
hyper	chrXI	338	gene_features	intergenic
hyper	chrXII	317	gene_features	intergenic
hyper	chrXIII	259	gene_features	intergenic
hyper	chrXIV	224	gene_features	intergenic
hyper	chrXV	281	gene_features	intergenic
hyper	chrXVI	270	gene_features	intergenic
hyper	chrXVII	378	gene_features	intergenic
hyper	chrXVIII	283	gene_features	intergenic
hyper	chrXX	335	gene_features	intergenic
hyper	chrXXI	324	gene_features	intergenic
hypo	chrI	3243	gene_features	intergenic
hypo	chrII	2092	gene_features	intergenic
hypo	chrIII	1854	gene_features	intergenic
hypo	chrIV	3377	gene_features	intergenic
hypo	chrIX	1718	gene_features	intergenic
hypo	chrV	1888	gene_features	intergenic
hypo	chrVI	2053	gene_features	intergenic
hypo	chrVII	2981	gene_features	intergenic
hypo	chrVIII	2020	gene_features	intergenic
hypo	chrX	1928	gene_features	intergenic
hypo	chrXI	2148	gene_features	intergenic
hypo	chrXII	2254	gene_features	intergenic
hypo	chrXIII	1996	gene_features	intergenic
hypo	chrXIV	1938	gene_features	intergenic
hypo	chrXV	2107	gene_features	intergenic
hypo	chrXVI	1972	gene_features	intergenic
hypo	chrXVII	2085	gene_features	intergenic
hypo	chrXVIII	1910	gene_features	intergenic
hypo	chrXX	2073	gene_features	intergenic
hypo	chrXXI	2023	gene_features	intergenic
non	chrI	3245	gene_features	intergenic
non	chrII	2262	gene_features	intergenic
non	chrIII	1733	gene_features	intergenic
non	chrIV	3415	gene_features	intergenic
non	chrIX	1799	gene_features	intergenic
non	chrV	1770	gene_features	intergenic
non	chrVI	2047	gene_features	intergenic
non	chrVII	3063	gene_features	intergenic
non	chrVIII	2008	gene_features	intergenic
non	chrX	1957	gene_features	intergenic
non	chrXI	2074	gene_features	intergenic
non	chrXII	2290	gene_features	intergenic
non	chrXIII	1786	gene_features	intergenic
non	chrXIV	1741	gene_features	intergenic
non	chrXV	2115	gene_features	intergenic
non	chrXVI	1936	gene_features	intergenic
non	chrXVII	2008	gene_features	intergenic
non	chrXVIII	1865	gene_features	intergenic
non	chrXX	2113	gene_features	intergenic
non	chrXXI	2085	gene_features	intergenic
hyper	chrI	97	gene_features	promoter
hyper	chrII	103	gene_features	promoter
hyper	chrIII	98	gene_features	promoter
hyper	chrIV	82	gene_features	promoter
hyper	chrIX	101	gene_features	promoter
hyper	chrV	105	gene_features	promoter
hyper	chrVI	66	gene_features	promoter
hyper	chrVII	95	gene_features	promoter
hyper	chrVIII	70	gene_features	promoter
hyper	chrX	72	gene_features	promoter
hyper	chrXI	67	gene_features	promoter
hyper	chrXII	96	gene_features	promoter
hyper	chrXIII	84	gene_features	promoter
hyper	chrXIV	62	gene_features	promoter
hyper	chrXV	66	gene_features	promoter
hyper	chrXVI	62	gene_features	promoter
hyper	chrXVII	61	gene_features	promoter
hyper	chrXVIII	88	gene_features	promoter
hyper	chrXX	72	gene_features	promoter
hyper	chrXXI	34	gene_features	promoter
hypo	chrI	539	gene_features	promoter
hypo	chrII	239	gene_features	promoter
hypo	chrIII	318	gene_features	promoter
hypo	chrIV	433	gene_features	promoter
hypo	chrIX	365	gene_features	promoter
hypo	chrV	465	gene_features	promoter
hypo	chrVI	237	gene_features	promoter
hypo	chrVII	538	gene_features	promoter
hypo	chrVIII	281	gene_features	promoter
hypo	chrX	412	gene_features	promoter
hypo	chrXI	361	gene_features	promoter
hypo	chrXII	355	gene_features	promoter
hypo	chrXIII	324	gene_features	promoter
hypo	chrXIV	252	gene_features	promoter
hypo	chrXV	309	gene_features	promoter
hypo	chrXVI	267	gene_features	promoter
hypo	chrXVII	368	gene_features	promoter
hypo	chrXVIII	253	gene_features	promoter
hypo	chrXX	318	gene_features	promoter
hypo	chrXXI	168	gene_features	promoter
non	chrI	911	gene_features	promoter
non	chrII	487	gene_features	promoter
non	chrIII	592	gene_features	promoter
non	chrIV	809	gene_features	promoter
non	chrIX	655	gene_features	promoter
non	chrV	738	gene_features	promoter
non	chrVI	523	gene_features	promoter
non	chrVII	842	gene_features	promoter
non	chrVIII	626	gene_features	promoter
non	chrX	470	gene_features	promoter
non	chrXI	710	gene_features	promoter
non	chrXII	654	gene_features	promoter
non	chrXIII	621	gene_features	promoter
non	chrXIV	513	gene_features	promoter
non	chrXV	588	gene_features	promoter
non	chrXVI	492	gene_features	promoter
non	chrXVII	653	gene_features	promoter
non	chrXVIII	578	gene_features	promoter
non	chrXX	578	gene_features	promoter
non	chrXXI	458	gene_features	promoter
hyper	chrI	155	DMR	DMR
hyper	chrII	52	DMR	DMR
hyper	chrIII	65	DMR	DMR
hyper	chrIV	105	DMR	DMR
hyper	chrIX	94	DMR	DMR
hyper	chrV	86	DMR	DMR
hyper	chrVI	64	DMR	DMR
hyper	chrVII	61	DMR	DMR
hyper	chrVIII	104	DMR	DMR
hyper	chrX	99	DMR	DMR
hyper	chrXI	74	DMR	DMR
hyper	chrXII	54	DMR	DMR
hyper	chrXIII	70	DMR	DMR
hyper	chrXIV	65	DMR	DMR
hyper	chrXV	34	DMR	DMR
hyper	chrXVI	77	DMR	DMR
hyper	chrXVII	130	DMR	DMR
hyper	chrXVIII	44	DMR	DMR
hyper	chrXX	106	DMR	DMR
hyper	chrXXI	58	DMR	DMR
hypo	chrI	1162	DMR	DMR
hypo	chrII	475	DMR	DMR
hypo	chrIII	709	DMR	DMR
hypo	chrIV	998	DMR	DMR
hypo	chrIX	746	DMR	DMR
hypo	chrV	718	DMR	DMR
hypo	chrVI	565	DMR	DMR
hypo	chrVII	928	DMR	DMR
hypo	chrVIII	649	DMR	DMR
hypo	chrX	578	DMR	DMR
hypo	chrXI	819	DMR	DMR
hypo	chrXII	769	DMR	DMR
hypo	chrXIII	514	DMR	DMR
hypo	chrXIV	726	DMR	DMR
hypo	chrXV	669	DMR	DMR
hypo	chrXVI	774	DMR	DMR
hypo	chrXVII	743	DMR	DMR
hypo	chrXVIII	739	DMR	DMR
hypo	chrXX	522	DMR	DMR
hypo	chrXXI	641	DMR	DMR
non	chrI	114	DMR	DMR
non	chrII	45	DMR	DMR
non	chrIII	51	DMR	DMR
non	chrIV	101	DMR	DMR
non	chrIX	77	DMR	DMR
non	chrV	60	DMR	DMR
non	chrVI	53	DMR	DMR
non	chrVII	91	DMR	DMR
non	chrVIII	77	DMR	DMR
non	chrX	73	DMR	DMR
non	chrXI	65	DMR	DMR
non	chrXII	68	DMR	DMR
non	chrXIII	47	DMR	DMR
non	chrXIV	77	DMR	DMR
non	chrXV	65	DMR	DMR
non	chrXVI	54	DMR	DMR
non	chrXVII	71	DMR	DMR
non	chrXVIII	63	DMR	DMR
non	chrXX	49	DMR	DMR
non	chrXXI	76	DMR	DMR
hyper	chrI	956	DMR	nonDMR
hyper	chrII	674	DMR	nonDMR
hyper	chrIII	637	DMR	nonDMR
hyper	chrIV	991	DMR	nonDMR
hyper	chrIX	667	DMR	nonDMR
hyper	chrV	611	DMR	nonDMR
hyper	chrVI	538	DMR	nonDMR
hyper	chrVII	903	DMR	nonDMR
hyper	chrVIII	674	DMR	nonDMR
hyper	chrX	619	DMR	nonDMR
hyper	chrXI	651	DMR	nonDMR
hyper	chrXII	673	DMR	nonDMR
hyper	chrXIII	546	DMR	nonDMR
hyper	chrXIV	513	DMR	nonDMR
hyper	chrXV	616	DMR	nonDMR
hyper	chrXVI	593	DMR	nonDMR
hyper	chrXVII	684	DMR	nonDMR
hyper	chrXVIII	664	DMR	nonDMR
hyper	chrXX	637	DMR	nonDMR
hyper	chrXXI	613	DMR	nonDMR
hypo	chrI	5664	DMR	nonDMR
hypo	chrII	3816	DMR	nonDMR
hypo	chrIII	3344	DMR	nonDMR
hypo	chrIV	6046	DMR	nonDMR
hypo	chrIX	3395	DMR	nonDMR
hypo	chrV	3552	DMR	nonDMR
hypo	chrVI	3646	DMR	nonDMR
hypo	chrVII	5287	DMR	nonDMR
hypo	chrVIII	3647	DMR	nonDMR
hypo	chrX	3371	DMR	nonDMR
hypo	chrXI	3650	DMR	nonDMR
hypo	chrXII	4123	DMR	nonDMR
hypo	chrXIII	3503	DMR	nonDMR
hypo	chrXIV	3179	DMR	nonDMR
hypo	chrXV	4014	DMR	nonDMR
hypo	chrXVI	3612	DMR	nonDMR
hypo	chrXVII	3765	DMR	nonDMR
hypo	chrXVIII	3220	DMR	nonDMR
hypo	chrXX	3515	DMR	nonDMR
hypo	chrXXI	3377	DMR	nonDMR
non	chrI	7385	DMR	nonDMR
non	chrII	4683	DMR	nonDMR
non	chrIII	4425	DMR	nonDMR
non	chrIV	7563	DMR	nonDMR
non	chrIX	4538	DMR	nonDMR
non	chrV	4608	DMR	nonDMR
non	chrVI	4452	DMR	nonDMR
non	chrVII	6679	DMR	nonDMR
non	chrVIII	4704	DMR	nonDMR
non	chrX	4331	DMR	nonDMR
non	chrXI	4819	DMR	nonDMR
non	chrXII	5241	DMR	nonDMR
non	chrXIII	4311	DMR	nonDMR
non	chrXIV	4127	DMR	nonDMR
non	chrXV	4906	DMR	nonDMR
non	chrXVI	4700	DMR	nonDMR
non	chrXVII	4939	DMR	nonDMR
non	chrXVIII	4363	DMR	nonDMR
non	chrXX	4451	DMR	nonDMR
non	chrXXI	4285	DMR	nonDMR
